Transcript ID	Gene name	Poly(A) tags	Mean TL	Median TL	10th %ile, TL	25th %ile, TL	75th %ile, TL	90th %ile, TL	mRNA RPKM	RPF RPKM	log2(TE)
ENSDART00000123350	sptlc2a	117	30.4	23.0	7.2	14.3	40.5	62.0	NA	NA	NA
ENSDART00000006490	tlk2	143	74.8	73.1	23.8	49.2	101.1	121.9	38.97	209.78	2.42844130423
ENSDART00000114340	plagl2	1	40.2	40.2	NA	NA	NA	NA	NA	NA	NA
ENSDART00000151404	abat	105	30.5	22.2	3.6	10.5	40.2	77.0	12.23	59.54	2.28343481771
ENSDART00000145848	si:dkey-61l1.4	4	53.3	60.7	NA	NA	NA	NA	NA	NA	NA
ENSDART00000097923	actr8	255	14.9	12.4	4.0	8.2	19.4	29.8	19.45	5.86	-1.73079758545
ENSDART00000138852	lcorl	94	49.0	35.6	9.3	20.2	71.1	98.7	18.05	40.94	1.18151226525
ENSDART00000108721	tjp1a	18	32.8	18.3	-2.3	4.5	46.0	89.4	12.91	56.85	2.13867134847
ENSDART00000148210	dnajc4	14	33.1	29.1	7.1	14.1	48.5	63.0	NA	NA	NA
ENSDART00000040499	pus7	116	41.3	36.7	11.5	20.5	56.9	78.4	25.46	15.31	-0.733758136402
ENSDART00000135667	si:dkey-88l16.5	267	51.6	44.8	11.8	23.0	75.1	100.5	NA	NA	NA
ENSDART00000098132	klhl24	20	19.8	19.1	2.4	7.0	24.6	48.9	6.73	10.72	0.671626495847
ENSDART00000124838	BX321921.1	3	42.7	24.0	NA	NA	NA	NA	NA	NA	NA
ENSDART00000122408	CCDC178	4	25.5	23.0	NA	NA	NA	NA	NA	NA	NA
ENSDART00000124833	pdcd11	116	34.4	33.1	10.4	20.9	45.6	59.5	36.99	33.87	-0.12712731363
ENSDART00000122405	jak2b	576	16.6	12.9	1.8	6.6	22.7	35.5	NA	NA	NA
ENSDART00000122407	cdk1	588	13.8	12.7	4.0	8.0	17.9	25.7	39.56	3.62	-3.44998082368
ENSDART00000122403	wu:fb55g09	49	19.8	18.6	6.2	11.6	29.6	35.4	NA	NA	NA
ENSDART00000147296	si:rp71-1f1.4	1	15.9	15.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000060321	RAMP1	2	13.8	13.8	NA	NA	NA	NA	NA	NA	NA
ENSDART00000141595	med23	78	43.7	34.1	9.1	19.7	55.3	99.4	9.92	18.48	0.897552731029
ENSDART00000034078	psmc4	475	23.9	21.2	6.6	11.6	32.1	45.1	79.34	124.8	0.653497631604
ENSDART00000141597	lrrfip1b	3	24.5	24.1	NA	NA	NA	NA	NA	NA	NA
ENSDART00000141596	agpat9	2	20.9	20.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000006724	smarcd3b	7	28.9	26.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000006726	irx1a	14	16.8	13.6	5.5	9.5	17.0	32.1	NA	NA	NA
ENSDART00000078000	C16H1orf43	418	29.4	24.8	6.0	12.8	40.3	59.6	NA	NA	NA
ENSDART00000099192	htr5al	18	18.5	16.7	7.6	12.2	20.1	29.4	NA	NA	NA
ENSDART00000103970	CU467865.1	1	14.4	14.4	NA	NA	NA	NA	NA	NA	NA
ENSDART00000016002	tspan7	313	37.3	31.4	6.0	14.5	54.3	79.5	21.07	107.41	2.34986609695
ENSDART00000104657	mrps21	422	17.4	15.2	3.6	8.8	23.9	34.3	NA	NA	NA
ENSDART00000108868	CT990569.2	47	28.3	22.5	5.2	11.2	39.0	57.8	7.61	11.88	0.642566477297
ENSDART00000011662	ppm1bb	45	54.2	42.3	1.6	15.5	90.8	120.0	20.3	156.58	2.9473483161
ENSDART00000097522	parvg	1	33.6	33.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000138818	arid1b	9	33.4	22.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000098728	CABZ01109624.1	2	10.1	10.1	NA	NA	NA	NA	NA	NA	NA
ENSDART00000111542	shroom4	75	48.9	40.9	11.4	23.5	80.4	92.0	14.13	18.67	0.401960461892
